prov,cities,median_wait_gap_wk,median_wait_gap_we,median_dens_gap_wk,median_dens_gap_we
AB,4,-2.015209710870767,-1.976467781996563,164.65917271909336,98.38856288609037
BC,9,-1.4017341031076596,-2.2363318789510487,0.0,0.0
MB,1,-4.817705079096358,-4.23666470473329,392.1968966124822,226.85046690928604
NB,2,-10.616158770291836,-1.3011222718253972,257.94373915813793,141.4315322537508
ON,18,-1.8939389278536556,-0.6815542091012103,5.051323075547153,9.916501698644279
QC,14,-2.370990064490311,-5.756111138212788,53.871247292704055,43.8535065383916
SK,2,-3.069820062834544,-2.843245407677954,271.34535587448704,200.32300290616854
