feed_name,city,prov,neighborhoods,wait_gap_wk_med,wait_gap_wk_ci_low,wait_gap_wk_ci_high,wait_gap_wk_p,wait_gap_we_med,wait_gap_we_ci_low,wait_gap_we_ci_high,wait_gap_we_p,dens_gap_wk_med,dens_gap_wk_ci_low,dens_gap_wk_ci_high,dens_gap_wk_p,dens_gap_we_med,dens_gap_we_ci_low,dens_gap_we_ci_high,dens_gap_we_p
barrie_transit,Barrie Transit (ON),ON,146,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_cowichan_valley,Cowichan Valley (BC),BC,128,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_fraser_valley_region,Fraser Valley Region (BC),BC,269,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_kelowna,Kelowna (BC),BC,207,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_nanaimo,Nanaimo (BC),BC,204,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_north_okanagan,North Okanagan (BC),BC,114,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_prince_george,Prince George (BC),BC,130,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_victoria,Victoria (BC),BC,506,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
bc_transit_west_kootenay,West Kootenay (BC),BC,104,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
brampton_transit,Brampton (ON),ON,163,,,,,,,,,-19.862392909606662,-36.293191195271625,24.246352191390343,0.5634257334800972,-6.615550817308545,-16.592517274458338,25.013618047823396,0.9770871174459091
burlington_transit,Burlington Transit (ON),ON,168,,,,,0.5795454545454568,-5.402597402597401,4.0196431282446605,0.7935270796019358,0.0,0.0,0.0,1.0,52.37650824783443,26.49243580315057,101.42112903929424,0.0010528958711645958
calgary_transit,Calgary (AB),AB,289,-2.015209710870767,-3.5365961808240174,-0.6784425774360378,0.005813222008565889,-3.42222743624996,-4.758530868020969,-2.0552855884255634,9.533123809337906e-06,169.73931173405884,88.98036570234635,248.09091136153802,5.283045554445703e-10,114.45012831699856,67.3390216524946,164.13723715884456,4.6129550802652873e-10
codiac_transpo,Codiac Transpo (NB),NB,136,-2.3861636944298237,-4.60341354988244,-0.2555069082057856,0.055665381653538425,-1.3011222718253972,-2.3131935320283254,0.31566693683879077,0.1494346587799263,277.9414367194944,116.5610424573631,388.0631351319976,1.2159946503130518e-05,169.2582019236041,103.57560762621668,281.4204630769131,3.758788161165619e-05
durham_region_transit,Durham Region Transit (ON),ON,507,-3.3234557632389112,-5.505492554268753,-1.4159034107950355,0.0011320690115107334,-0.050744213146883155,-2.5918083098301907,0.01787379592293888,0.045547662177826,145.67969767669544,56.56756735543496,336.93657000792535,1.1452890298788734e-08,141.32573129198607,69.98256381518141,225.88949919303474,4.6688674745500104e-08
edmonton_transit_service,Edmonton (AB),AB,286,,,,,-1.976467781996563,-4.536045406074961,-0.8169196509389449,0.00023184548683418145,0.0,0.0,0.0,1.0,74.75734053579178,60.227476375850635,86.67439779335102,9.802536516685955e-12
exo_l'assomption,L'Assomption (QC),QC,221,-8.155787203092622,-13.685690151862026,-1.2805382573304873,0.012909374286384865,-27.272727272727273,-29.875,-15.431580565268082,2.2338413675969292e-05,60.858306988337574,-15.549870486959634,212.24905290240665,0.03869497404078247,27.604873732238502,-7.271129536001762,68.74107041377079,0.09014921237290585
exo_la_presqu'ile,La Presqu'Ile (QC),QC,137,-0.22986549770177334,-7.4900051568476895,6.230398209391755,0.6760462824935736,,,,,19.67902834715779,-18.759875228948196,153.49328563498045,0.12148844104797356,10.795070644322626,0.0,49.47910859860568,8.860897732738672e-05
exo_laurentides,Laurentides (QC),QC,448,-1.9996144480519469,-5.042918302790394,-0.3300606927114235,0.0002470708425067257,-4.7904931218329025,-7.46953125,-0.26426911630036504,0.0003387554875282582,188.9630221164956,129.9414550732855,240.783751080209,1.6468232297433698e-10,121.17182016866705,77.63881883891895,164.74468494341914,2.7662199822493203e-09
exo_le_richelain_roussillon,Le Richelain Roussillon (QC),QC,138,2.3656366067298045,-1.4436745985695327,15.763756903080214,0.06766108399880992,,,,,45.14148487616299,-33.48717800365269,117.29830916346204,0.18170382376261363,-12.196323060661442,-65.66663095544865,72.30293490077595,0.319814952941486
exo_richelieu,Richelieu (QC),QC,126,-13.300219747871369,-27.168070578231298,2.3624836027266305,0.1569388351691618,,,,,40.29681601097313,11.867524961325309,93.77664575215293,0.001292887296158858,22.76452580188249,0.0,81.45369584456017,0.025843792130263863
exo_sud_ouest,Sud Ouest (QC),QC,132,-7.215212842712846,-12.284835088776028,-3.1768312374827423,0.0008582758784667728,-1.0268926588399196,-13.212335296255613,1.6059018284347226,0.4637453520964153,46.884187597070536,29.87168815216059,142.40383664307512,0.0013502502780349467,60.102139344544696,9.14673558226903,203.75944760097823,0.010887387030775632
